episode,reward
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.036645833
66,0.036645833
67,0.036645833
68,0.036645833
69,0.036645833
70,0.036645833
71,0.036645833
72,0.036645833
73,0.036645833
74,0.036645833
75,0.036645833
76,0.028629558
77,0.028629558
