episode,reward
0,0.9773333
1,0.96826667
2,0.96380955
3,0.55247617
4,0.55247617
5,0.5413333
6,0.5632333
7,0.56402665
8,0.54233336
9,0.5735914
10,0.5556667
11,0.5440877
12,0.53013676
13,0.52071106
14,0.53002894
15,0.51561904
16,0.53733337
17,0.53364366
18,0.5313889
19,0.5207619
20,0.52351516
21,0.5148986
22,0.5075429
23,0.49344444
24,0.48459554
25,0.49090832
26,0.4901587
27,0.47875968
28,0.47834846
29,0.47161904
30,0.46147668
31,0.46207562
32,0.45815998
33,0.44860667
34,0.42958
35,0.40908
36,0.41868
37,0.42779338
38,0.4179134
39,0.40919334
40,0.40875998
41,0.41984665
42,0.42844665
43,0.42731997
44,0.42655998
45,0.41720662
46,0.41751334
47,0.4275067
48,0.41801333
49,0.39968666
50,0.39057335
51,0.39010003
52,0.38012
53,0.38051334
54,0.37363338
55,0.40373328
56,0.42176667
57,0.4293067
58,0.41916
59,0.44820666
60,0.43899333
61,0.4392067
62,0.44722664
63,0.44722664
64,0.44722664
65,0.43723333
66,0.44814667
67,0.44814667
68,0.46596
69,0.45684665
70,0.46790668
71,0.4602067
72,0.45045337
73,0.43023336
74,0.4215667
75,0.41489333
76,0.42373332
77,0.41374
