episode,reward
0,[0.9993333]
1,[0.95533335]
2,[0.9993333]
3,[0.95533335]
4,[0.9586667]
5,[0.90933335]
6,[0.992]
7,[0.84466666]
8,[0.828]
9,[0.91533333]
10,[0.9113333]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.988]
16,[0.93266666]
17,[0.90466666]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.98933333]
23,[0.]
24,[0.]
25,[0.]
26,[0.892]
27,[0.]
28,[0.9993333]
29,[0.96533334]
30,[0.]
31,[0.]
32,[0.9993333]
33,[0.]
34,[0.9993333]
35,[0.95533335]
36,[0.9586667]
37,[0.90933335]
38,[0.992]
39,[0.84466666]
40,[0.828]
41,[0.91533333]
42,[0.9113333]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.988]
48,[0.93266666]
49,[0.90466666]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.98933333]
55,[0.]
56,[0.]
57,[0.]
58,[0.892]
59,[0.]
60,[0.9993333]
61,[0.96533334]
62,[0.]
63,[0.]
64,[0.9993333]
65,[0.]
66,[0.]
67,[0.9993333]
68,[0.9993333]
69,[0.98933333]
70,[0.]
71,[0.9826667]
72,[0.]
73,[0.]
74,[0.]
75,[0.966]
76,[0.]
77,[0.]
78,[0.]
79,[0.962]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.9266667]
85,[0.]
86,[0.948]
87,[0.844]
88,[0.]
89,[0.998]
90,[0.]
91,[0.]
92,[0.90933335]
93,[0.]
94,[0.9993333]
95,[0.]
96,[0.9993333]
97,[0.95533335]
98,[0.9586667]
99,[0.90933335]
100,[0.992]
101,[0.84466666]
102,[0.828]
103,[0.91533333]
104,[0.9113333]
105,[0.]
106,[0.]
107,[0.]
108,[0.]
109,[0.988]
110,[0.93266666]
111,[0.90466666]
112,[0.]
113,[0.]
114,[0.]
115,[0.]
116,[0.98933333]
117,[0.]
118,[0.]
119,[0.]
120,[0.892]
121,[0.]
122,[0.9993333]
123,[0.96533334]
124,[0.]
125,[0.]
126,[0.9993333]
127,[0.]
128,[0.]
129,[0.9993333]
130,[0.9993333]
131,[0.98933333]
132,[0.]
133,[0.9826667]
134,[0.]
135,[0.]
136,[0.]
137,[0.966]
138,[0.]
139,[0.]
140,[0.]
141,[0.962]
142,[0.]
143,[0.]
144,[0.]
145,[0.]
146,[0.9266667]
147,[0.]
148,[0.948]
149,[0.844]
150,[0.]
151,[0.998]
152,[0.]
153,[0.]
154,[0.90933335]
155,[0.]
156,[0.9993333]
157,[0.]
158,[0.]
159,[0.]
160,[0.]
161,[0.]
162,[0.]
163,[0.89933336]
164,[0.952]
165,[0.]
166,[0.8413333]
167,[0.9766667]
168,[0.]
169,[0.]
170,[0.95066667]
171,[0.]
172,[0.]
173,[0.]
174,[0.9266667]
175,[0.]
176,[0.806]
177,[0.984]
178,[0.]
179,[0.96]
180,[0.864]
181,[0.918]
182,[0.9993333]
183,[0.]
184,[0.89666665]
185,[0.826]
186,[0.]
187,[0.95]
188,[0.966]
189,[0.]
190,[0.892]
191,[0.]
192,[0.9993333]
193,[0.96533334]
194,[0.]
195,[0.]
196,[0.9993333]
197,[0.]
198,[0.]
199,[0.9993333]
200,[0.9993333]
201,[0.98933333]
202,[0.]
203,[0.9826667]
204,[0.]
205,[0.]
206,[0.]
207,[0.966]
208,[0.]
209,[0.]
210,[0.]
211,[0.962]
212,[0.]
213,[0.]
214,[0.]
215,[0.]
216,[0.9266667]
217,[0.]
218,[0.948]
219,[0.844]
220,[0.]
221,[0.998]
222,[0.]
223,[0.]
