episode,reward
0,[0.9993333]
1,[0.95533335]
2,[0.9993333]
3,[0.95533335]
4,[0.9393333]
5,[0.9586667]
6,[0.992]
7,[0.848]
8,[0.828]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.988]
14,[0.8753333]
15,[0.]
16,[0.93666667]
17,[0.9953333]
18,[0.84866667]
19,[0.89933336]
20,[0.9173333]
21,[0.9993333]
22,[0.98733336]
23,[0.93866664]
24,[0.83133334]
25,[0.]
26,[0.968]
27,[0.]
28,[0.]
29,[0.98066664]
30,[0.]
31,[0.]
32,[0.918]
33,[0.]
34,[0.]
35,[0.]
36,[0.9993333]
37,[0.82733333]
38,[0.9993333]
39,[0.95533335]
40,[0.9393333]
41,[0.9586667]
42,[0.992]
43,[0.848]
44,[0.828]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.988]
50,[0.8753333]
51,[0.]
52,[0.93666667]
53,[0.9953333]
54,[0.84866667]
55,[0.89933336]
56,[0.9173333]
57,[0.9993333]
58,[0.98733336]
59,[0.93866664]
60,[0.83133334]
61,[0.]
62,[0.968]
63,[0.]
64,[0.]
65,[0.98066664]
66,[0.]
67,[0.]
68,[0.918]
69,[0.]
70,[0.]
71,[0.]
72,[0.9993333]
73,[0.82733333]
74,[0.972]
75,[0.]
76,[0.9993333]
77,[0.]
78,[0.]
79,[0.8413333]
80,[0.]
81,[0.96933335]
82,[0.]
83,[0.]
84,[0.96]
85,[0.9946667]
86,[0.]
87,[0.]
88,[0.9686667]
89,[0.9993333]
90,[0.992]
91,[0.]
92,[0.98]
93,[0.9173333]
94,[0.9826667]
95,[0.]
96,[0.872]
97,[0.]
98,[0.846]
99,[0.]
100,[0.946]
101,[0.]
102,[0.]
103,[0.9993333]
104,[0.96933335]
105,[0.]
106,[0.828]
107,[0.]
108,[0.]
109,[0.]
110,[0.]
111,[0.988]
112,[0.8753333]
113,[0.]
114,[0.93666667]
115,[0.9953333]
116,[0.84866667]
117,[0.89933336]
118,[0.9173333]
119,[0.9993333]
120,[0.98733336]
121,[0.93866664]
122,[0.83133334]
123,[0.]
124,[0.968]
125,[0.]
126,[0.]
127,[0.98066664]
128,[0.]
129,[0.]
130,[0.918]
131,[0.]
132,[0.]
133,[0.]
134,[0.9993333]
135,[0.82733333]
136,[0.972]
137,[0.]
138,[0.9993333]
139,[0.]
140,[0.]
141,[0.8413333]
142,[0.]
143,[0.96933335]
144,[0.]
145,[0.]
146,[0.96]
147,[0.9946667]
148,[0.]
149,[0.]
150,[0.9686667]
151,[0.9993333]
152,[0.992]
153,[0.]
154,[0.98]
155,[0.9173333]
156,[0.9826667]
157,[0.]
158,[0.872]
159,[0.]
160,[0.846]
161,[0.]
162,[0.946]
163,[0.]
164,[0.]
165,[0.9993333]
166,[0.96933335]
167,[0.]
168,[0.]
169,[0.86266667]
170,[0.]
171,[0.]
172,[0.968]
173,[0.962]
174,[0.]
175,[0.]
176,[0.90533334]
177,[0.]
178,[0.87866664]
179,[0.866]
180,[0.]
181,[0.]
182,[0.98066664]
183,[0.]
184,[0.]
185,[0.]
186,[0.]
187,[0.99266666]
188,[0.97533333]
189,[0.9946667]
190,[0.8806667]
191,[0.9993333]
192,[0.]
193,[0.]
194,[0.818]
195,[0.]
196,[0.90466666]
197,[0.9546667]
198,[0.9713333]
199,[0.97933334]
200,[0.9166667]
201,[0.]
202,[0.8426667]
203,[0.9953333]
204,[0.956]
205,[0.]
206,[0.]
207,[0.8413333]
208,[0.]
209,[0.96933335]
210,[0.]
211,[0.]
212,[0.96]
213,[0.9946667]
214,[0.]
215,[0.]
216,[0.9686667]
