episode,reward
0,0.9773333
1,0.96033335
2,0.9661333
3,0.48483333
4,0.63750005
5,0.6470159
6,0.67902774
7,0.6484138
8,0.6474583
9,0.6724571
10,0.6633859
11,0.65075004
12,0.64350796
13,0.62168056
14,0.622321
15,0.6293333
16,0.6435847
17,0.62717706
18,0.6140099
19,0.6140099
20,0.5876952
21,0.5692973
22,0.56504273
23,0.54901624
24,0.54901624
25,0.54056466
26,0.5274232
27,0.5255627
28,0.51449823
29,0.5180545
30,0.5061333
31,0.49609333
32,0.50396
33,0.50396
34,0.50402
35,0.4935733
36,0.46756664
37,0.47882667
38,0.47882667
39,0.47718665
40,0.48817998
41,0.48028
42,0.48942003
43,0.48702
44,0.48765332
45,0.49669993
46,0.47822
47,0.49718
48,0.51632
49,0.53536
50,0.5667134
51,0.59396005
52,0.60286
53,0.61316663
54,0.61383337
55,0.60391337
56,0.60392004
57,0.60423994
58,0.60594004
59,0.60583335
60,0.59643334
61,0.59566003
62,0.5935467
63,0.58562666
64,0.58562666
65,0.5767667
66,0.5675333
67,0.56102663
68,0.5705334
69,0.57282
70,0.5722067
71,0.5526933
72,0.56127995
73,0.5803533
74,0.5695533
75,0.56816
76,0.58562666
77,0.58562666
